cat,Delta_G_OH*,Delta_G_O*,Delta_G_OOH*
Fe-C2N1,-0.94,-0.61,2.52
Co-C2N1,-0.66,-0.2,2.58
Ni-C2N1,-0.37,0.88,2.89
Cu-C2N1,0.38,2.1,3.71
Ru-C2N1,-0.71,-0.65,2.86
Rh-C2N1,-0.78,0.02,2.46
Pd-C2N1,0.47,1.62,3.76
Ag-C2N1,0.62,2.44,3.95
Ir-C2N1,-1.24,-1.13,2.3
Pt-C2N1,0.22,1.33,3.54
Fe-C3,-0.88,-0.39,2.28
Co-C3,-0.44,0.3,2.79
Ni-C3,-0.5,0.6,2.79
Cu-C3,0.12,1.68,3.24
Ru-C3,-0.87,-0.45,2.31
Rh-C3,-0.12,0.52,3.05
Pd-C3,0.5,1.74,3.7
Ag-C3,1.1,2.95,4.48
Ir-C3,-0.61,-0.48,2.75
Pt-C3,1.12,2.57,4.42
Fe-C2N2,0.5,1.11,3.55
Co-C2N2,0.84,2.4,3.88
Ni-C2N2,1.34,3.15,4.34
Cu-C2N2,1.82,3.95,4.82
Ru-C2N2,0.62,1.37,3.64
Rh-C2N2,1.13,2.54,4.21
Pd-C2N1,2.01,4.28,5.12
Ag-C2N2,1.56,3.58,4.95
Ir-C2N2,1.2,2.14,4.16
Pt-C2N2,1.38,3.19,4.53
Fe-C4,0.08,0.35,3.09
Co-C4,0.78,1.59,3.7
Ni-C4,1.4,3.41,4.45
Cu-C4,1.59,3.55,4.68
Ru-C4,0.29,1.2,3.26
Rh-C4,0.72,1.6,3.78
Pd-C4,1.57,3.47,4.63
Ag-C4,1.78,3.79,4.79
Ir-C4,0.55,0.84,3.57
Pt-C4,1.35,2.7,4.53
